Date/Time,CoolingCoils:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Baseboard:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),Cooling:Electricity [J](Hourly)
 12/22  15:00:00,98428.60283670701,6706419.188115078,56240276.16820917,23588293.18796368,168106276.61360776,602516136.8351436,185997284.60898143,0.0,1619606.2663805394
 12/22  16:00:00,121273.1963475647,10295659.67001057,56425065.80104345,23659348.036644753,177647624.66628096,588671338.1812629,206393184.11309496,0.0,1632355.2382382764
 12/22  17:00:00,142255.97036343324,14343585.056075526,56520390.264964,23722131.37960358,186642496.8847413,595731226.153102,210761077.4928998,0.0,1659073.4359762468
 12/22  18:00:00,104439.87484938369,22269395.481615398,56559309.4671708,23787617.571291298,222602285.0607401,571385554.2411273,240128191.0449831,0.0,1665429.993901779
 12/22  19:00:00,112141.31602742412,33392046.806013133,56589730.484886184,23816953.407436937,227870715.87429914,573840221.0676626,258162993.82794818,0.0,1667228.5806231485
 12/22  20:00:00,115685.35312971826,157185.4444030495,38317.3467529496,23395058.95071403,35478980.233915284,379476171.2625251,20835028.60213073,0.0,1674194.7645525823
 12/22  21:00:00,84046.22588237647,182330.11416849497,35252.27238654923,23428357.30574197,90382615.17198637,59918415.487667896,56289963.79931364,0.0,1657142.1334350235
 12/22  22:00:00,44881.607620328636,225401.04198303242,34322.468101697574,23409992.862665627,95534333.73051462,52997341.07534706,68238039.6640524,0.0,1633035.1215909652
 12/22  23:00:00,16008.467483645945,272994.57713422424,32162.41587845623,23388674.190875955,93545495.52266231,50578952.37865992,73688018.37662414,0.0,1612707.9521567663
 12/22  24:00:00,729.3883852701363,301610.09767522744,29397.464454779554,2025166.6448117027,85970294.09171155,24422859.93582361,72481783.55466682,0.0,133246.3653544023
 12/23  01:00:00,0.0,319631.37446295173,30239.416592627622,78639.02384352597,78880803.48050442,20082264.294319093,69686101.34148915,0.0,0.0
 12/23  02:00:00,0.0,346052.0639871408,31673.822335396188,78219.97363464726,78082316.51811008,20083279.649852984,71120713.2383923,0.0,0.0
 12/23  03:00:00,0.0,369017.5651735653,32955.25116721852,76927.82326346025,76361952.79720737,20083268.928313617,71268152.71653698,0.0,0.0
 12/23  04:00:00,0.0,389793.490015435,34116.696331849,76349.17708914039,75452914.58135822,20083851.72730393,71694004.1613423,0.0,0.0
 12/23  05:00:00,0.0,416791.88667937537,35584.48953244483,79130.35346680318,78165702.21740034,20088100.69688219,75077757.79630959,0.0,0.0
 12/23  06:00:00,0.0,451482.3934978588,37413.616087378905,83470.02542630049,82504830.4027095,20094269.495396618,79883569.3879056,0.0,0.0
 12/23  07:00:00,0.0,921659.0756531599,130886.35135874856,116711.11390070608,84732275.71838771,20220983.319142394,109057216.69134867,0.0,0.0
 12/23  08:00:00,0.0,1631657.8294224532,233131.8291900422,153105.92741444163,83945600.23217331,20359623.610487424,126768891.04360944,0.0,0.0
 12/23  09:00:00,0.0,2120595.125869404,295208.4696118937,171175.654119994,83063164.95589069,20439769.977614827,121495335.8295868,0.0,0.0
 12/23  10:00:00,0.0,685688.5287323316,73113.01755718776,92735.15743894261,78701322.22233614,20139234.02887907,62687072.34081581,0.0,0.0
 12/23  11:00:00,0.0,571066.7883146366,43437.97201486475,74465.35672093957,70752780.196353,20091289.182618745,54556739.04533139,0.0,0.0
 12/23  12:00:00,0.0,568331.0644121255,43292.258824813034,66234.62769621935,61811366.396666914,20082912.74040397,51139950.1682178,0.0,0.0
 12/23  13:00:00,0.0,563078.7040458579,43012.126455768885,60863.9968957879,56009908.3792547,20077261.977234494,48618287.39805737,0.0,0.0
 12/23  14:00:00,0.0,565024.0937543627,43065.050926606804,59896.720570460384,54952849.44640717,20076347.62538001,49040874.5297515,0.0,0.0
 12/23  15:00:00,0.0,576365.0334543829,43578.03257834754,62231.70514631609,57412290.911609836,20079195.5916076,52016525.65930271,0.0,0.0
